episode,condition,seed,return,success,steps,epsilon,loss
0,berkeley,42,9.14,1,13,1.0,
1,berkeley,42,7.44,1,28,0.894444,0.254456
2,berkeley,42,9.96,1,2,0.788889,0.441365
3,berkeley,42,9.82,1,9,0.683333,0.62901
4,berkeley,42,5.8,1,40,0.577778,0.462887
5,berkeley,42,5.74,1,33,0.472222,0.232635
6,berkeley,42,9.34,1,23,0.366667,0.179406
7,berkeley,42,9.82,1,9,0.261111,0.249341
8,berkeley,42,9.96,1,2,0.155556,0.079288
9,berkeley,42,-0.8,0,40,0.05,0.217591
0,berkeley,42,9.14,1,13,1.0,
1,berkeley,42,7.44,1,28,0.894444,0.254456
2,berkeley,42,9.96,1,2,0.788889,0.441365
3,berkeley,42,9.82,1,9,0.683333,0.62901
4,berkeley,42,5.8,1,40,0.577778,0.462887
5,berkeley,42,5.74,1,33,0.472222,0.232635
6,berkeley,42,9.34,1,23,0.366667,0.179406
7,berkeley,42,9.82,1,9,0.261111,0.249341
8,berkeley,42,9.96,1,2,0.155556,0.079288
9,berkeley,42,-0.8,0,40,0.05,0.217591
0,berkeley,42,9.14,1,13,1.0,
1,berkeley,42,7.44,1,28,0.894444,0.254456
2,berkeley,42,9.96,1,2,0.788889,0.441365
3,berkeley,42,9.82,1,9,0.683333,0.62901
4,berkeley,42,5.8,1,40,0.577778,0.462887
5,berkeley,42,5.74,1,33,0.472222,0.232635
6,berkeley,42,9.34,1,23,0.366667,0.179406
7,berkeley,42,9.82,1,9,0.261111,0.249341
8,berkeley,42,9.96,1,2,0.155556,0.079288
9,berkeley,42,-0.8,0,40,0.05,0.217591
